niche,title,asin,format,price_eur,reviews,bsr_overall,subcat_rank,subcat_name,competitor_type,assumed_pages,kindle_available,price_usd,est_daily_sales,est_monthly_sales,royalty_per_unit,est_monthly_royalty,passes_20k_test
keto_cookbook,The Wholesome Yum Easy Keto Cookbook,198482662X,hardcover,12.51,7081,11400,4,Ketogenic Cookbooks,traditional,280,True,13.51,12.987403839836245,395.29761067309585,3.7460000000000004,1480.78,True
keto_cookbook,Southern Keto,1628603135,paperback,14.81,12115,30327,13,Ketogenic Diet,traditional,280,True,15.99,4.763344909797155,144.98192901949602,5.234,758.84,False
keto_cookbook,Simply Keto,1628602635,paperback,16.66,10307,35261,17,Ketogenic Diet,traditional,280,True,17.99,4.143583649656374,126.11825554459105,6.433999999999999,811.44,False
dog_training_book,Training High Energy Dogs,B0FNL4MNG3,paperback,20.92,180,50365,57,Dog Training,indie,220,True,22.59,2.9737898631464,90.51324206458699,9.914,897.35,False
dog_training_book,How to Raise the Perfect Dog,0307461300,paperback,13.22,9523,11881,4,Dog Training,traditional,220,True,14.28,12.41045544695258,377.7370324388957,4.927999999999999,1861.49,True
dog_training_book,Zak George's Dog Training Revolution,1607748916,paperback,8.12,9495,15100,8,Dog Training,traditional,220,True,8.77,9.534539466341947,290.20277773704987,0.7449999999999997,216.2,True
budget_planner,Weekly Budget Planner,1441332863,paperback,5.68,1356,30806,49,Guided Journals,traditional,120,False,6.13,4.6948165037695295,142.89612992523317,0.625,89.31,False
budget_planner,Bill Tracker Notebook,B0C7J5GL8Q,paperback,8.71,2715,3173,1,Accounting Standards,indie,120,False,9.41,44.38522612609348,1350.9531275999072,2.265,3059.91,True
budget_planner,A Budget Planner (Sourcebooks),1728281369,paperback,14.82,21,560167,176,Budgetary & Cost Accounting,traditional,120,False,16.01,0.12527871681224562,3.81310830361432,7.166,27.32,False
anxiety_workbook,The Anxiety and Phobia Workbook,164848557X,paperback,12.54,2971,6611,26,Anxieties & Phobias,traditional,200,True,13.54,22.689456965663283,690.5990016638933,4.723999999999998,3262.39,True
anxiety_workbook,The Anxiety Workbook 7-Week Plan,1623159733,paperback,10.11,1785,129984,190,Anxieties & Phobias,traditional,200,True,10.92,0.9702904714026245,29.53273107808168,3.1519999999999997,93.09,False
anxiety_workbook,The Cognitive Behavioral Workbook for Anxiety,1626250154,paperback,21.1,962,24241,79,Anxieties & Phobias,traditional,200,True,22.79,5.859576818827914,178.3479396346652,10.274,1832.35,False
air_fryer_cookbook,Air Fryer Cookbook 600 Effortless Recipes,1674844468,paperback,11.25,46940,5974,3,Fryer Recipes,indie,200,True,12.15,25.108804820890526,764.236692333445,3.89,2972.88,True
air_fryer_cookbook,The Essential Air Fryer Cookbook for Beginners,B0H425VZT3,paperback,10.45,107,6580,2,Fryer Recipes,indie,200,True,11.29,22.796352583586607,693.8525835866255,3.373999999999999,2341.06,True
air_fryer_cookbook,Ultimate Air Fryer Perfection,1954210841,paperback,19.67,361,47935,57,Fryer Recipes,traditional,200,True,21.24,3.1193155706972795,94.9426080253131,9.343999999999998,887.14,False
sudoku_puzzle_book,1000+ Sudoku Puzzles for Adults,B098WHPB3D,paperback,6.1,5811,1529,7,Sudoku,indie,150,False,6.59,83.24176571572536,2533.629623089533,0.4950000000000001,1254.15,True
sudoku_puzzle_book,Sudoku Book for Adults and Seniors 3 Levels,B0FBM179D7,paperback,9.58,605,2615,9,Sudoku,indie,150,False,10.35,52.43130921239425,1595.8517584976437,3.41,5441.85,True
sudoku_puzzle_book,The Big Book of Sudoku,1680524755,paperback,8.12,8670,763,4,Sudoku,traditional,150,False,8.77,146.4726772502434,4458.188877465659,1.585,7066.23,True
small_business_ideas,47 Profitable Small Business Ideas,B09QRDHXS6,paperback,14.83,198,917166,336,Home-Based Businesses,indie,200,True,16.02,0.057344081457543605,1.7453818073232548,6.212,10.84,False
small_business_ideas,Starting a Business QuickStart Guide,1945051825,paperback,12.66,3888,46241,54,Starting a Business,traditional,200,True,13.67,3.224840885114779,98.15448202023853,4.802,471.34,False
small_business_ideas,1000 Business Ideas You Can Start Today,B0FF2PQJ8G,paperback,8.71,1,1521238,1139,Starting a Business,indie,200,True,9.41,0.02871563686043589,0.8740178391210872,1.3050000000000002,1.14,False
wedding_planner,The Wedding Planner Checklist,1441321543,paperback,6.46,6416,24459,3,Wedding Planners,traditional,120,False,6.98,5.811267263959441,176.87754171313352,1.0500000000000003,185.72,False
wedding_planner,The Budget-Savvy Wedding Planner and Organizer,1623159857,paperback,4.35,9964,110392,4,Wedding Budgets,traditional,120,False,4.7,1.164253188272169,35.43637429144001,0.0,0.0,False
wedding_planner,Ultimate Wedding Planner and Organizer,1441341668,paperback,17.32,24,334249,1759,Marriage,traditional,120,False,18.71,0.27587006302133465,8.396657108180364,8.786000000000001,73.77,False
large_print_sudoku_seniors,Sudoku Book for Adults - Large Print,B0DKTMJ1KC,paperback,4.35,1025,1814,8,Sudoku,indie,120,False,4.7,71.84610300866431,2186.7798372747156,0.0,0.0,True
large_print_sudoku_seniors,Easy Extra Large Print Sudoku for Seniors,B0FK4HJBD6,paperback,9.58,36,101345,199,Sudoku,indie,120,False,10.35,1.2807695350319557,38.98278233776764,3.77,146.97,False
large_print_sudoku_seniors,Easy Sudoku for Seniors,B0DBGG95FP,paperback,8.71,239,35588,79,Sudoku,indie,120,False,9.41,4.1083649105956495,125.04630278379979,2.265,283.23,False
debt_payoff_tracker,Debt Payoff Planner (Brinton),1963578163,paperback,8.71,41,361384,172,Financial Risk Management,indie,110,False,9.41,0.2451419653232355,7.46138599854332,2.4050000000000002,17.94,False
debt_payoff_tracker,Debt Snowball Tracker,B09X529HDG,paperback,5.57,111,141916,1720,Personal Finance,indie,110,False,6.02,0.8797430243499422,26.776738432139194,0.71,19.01,False
debt_payoff_tracker,Debt Payoff Planner (Thorne),B0GD1PPD5C,paperback,4.35,2,211382,703,Budgeting and Money Management,indie,110,False,4.7,0.5518018468613262,16.795192812918184,0.050000000000000266,0.84,False
habit_tracker_journal,Daily Habit Tracker One Month Small,B09M98WGBF,paperback,6.97,295,33135,843,Success Self-Help,indie,110,False,7.53,4.388844533535701,133.58326106722612,1.4650000000000003,195.7,False
habit_tracker_journal,Habit Tracker Journal One Month,B0DRWT7HBP,paperback,4.35,8,710147,17843,Personal Transformation Self-Help,indie,110,False,4.7,0.08601564357338944,2.618058143443254,0.050000000000000266,0.13,False
habit_tracker_journal,Monthly Habit Tracker Undated,B093RPTP25,paperback,6.1,30,1060355,17337,Motivational Self-Help,indie,110,False,6.59,0.04627274151942111,1.4084034336266205,0.9950000000000001,1.4,False
